Accession	Organism	Kingdom	Sequence length	SP cleavage	label	N-term transmembrane	fold
Q63836	Mus musculus	Metazoa	472		0	FALSE	4
O95278	Homo sapiens	Metazoa	331		0	FALSE	4
P10080	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	294		0	FALSE	2
P43246	Homo sapiens	Metazoa	934		0	FALSE	3
P43616	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	481		0	FALSE	1
P40517	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	327		0	FALSE	3
O22806	Arabidopsis thaliana	Viridiplantae	395		0	FALSE	0
Q08457	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	257		0	FALSE	1
Q80VQ0	Mus musculus	Metazoa	468		0	FALSE	0
G5EGK6	Caenorhabditis elegans	Metazoa	2407		0	FALSE	4
Q05728	Arabidopsis thaliana	Viridiplantae	389		0	FALSE	0
Q04839	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	188		0	FALSE	1
P48837	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	541		0	FALSE	4
O62203	Caenorhabditis elegans	Metazoa	1073		0	FALSE	2
P0C6S7	Rattus norvegicus	Metazoa	1260		0	FALSE	4
Q9NZB2	Homo sapiens	Metazoa	1118		0	FALSE	0
Q05636	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	305		0	FALSE	2
Q08235	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	291		0	FALSE	1
Q9LW29	Arabidopsis thaliana	Viridiplantae	575		0	FALSE	1
Q12062	Aspergillus parasiticus (strain ATCC 56775 / NRRL 5862 / SRRC 143 / SU-1)	Fungi	643		0	FALSE	0
P06509	Spinacia oleracea	Viridiplantae	272		0	FALSE	3
P43572	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	832		0	FALSE	3
O76075	Homo sapiens	Metazoa	338		0	FALSE	3
Q9LFP6	Arabidopsis thaliana	Viridiplantae	367		0	TRUE	1
Q96I59	Homo sapiens	Metazoa	477		0	FALSE	2
P82024	Spinacia oleracea	Viridiplantae	180		0	FALSE	3
G5EG17	Caenorhabditis elegans	Metazoa	1149		0	FALSE	2
Q9CUU3	Mus musculus	Metazoa	1500		0	FALSE	1
P54654	Dictyostelium discoideum	Other	464		0	FALSE	0
P21651	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	314		0	FALSE	2
P39715	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	212		0	FALSE	0
P36037	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	715		0	FALSE	4
Q8VHL0	Mus musculus	Metazoa	384		0	TRUE	4
Q9H4X1	Homo sapiens	Metazoa	137		0	FALSE	4
Q96RL1	Homo sapiens	Metazoa	719		0	FALSE	1
Q8VZE7	Arabidopsis thaliana	Viridiplantae	671		0	FALSE	4
Q8GV05	Arabidopsis thaliana	Viridiplantae	106		0	FALSE	4
Q02099	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	2386		0	FALSE	0
Q63425	Rattus norvegicus	Metazoa	1383		0	FALSE	2
Q96EY7	Homo sapiens	Metazoa	689		0	FALSE	0
A2IDD5	Homo sapiens	Metazoa	438		0	FALSE	1
Q7Z7F0	Homo sapiens	Metazoa	614		0	FALSE	1
P14923	Homo sapiens	Metazoa	745		0	FALSE	3
Q92759	Homo sapiens	Metazoa	462		0	FALSE	2
P53267	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	343		0	FALSE	1
Q02892	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	647		0	FALSE	1
H2KYS8	Caenorhabditis elegans	Metazoa	1107		0	TRUE	1
O13722	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	450		0	FALSE	4
Q8QFX1	Gallus gallus	Metazoa	1325		0	FALSE	3
P38880	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	579		0	FALSE	2
Q01992	Rattus norvegicus	Metazoa	710		0	FALSE	2
P36121	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	282		0	FALSE	2
Q9H5J8	Homo sapiens	Metazoa	278		0	FALSE	0
Q8VE70	Mus musculus	Metazoa	212		0	FALSE	1
Q94IN5	Euglena gracilis	Other	1803		0	FALSE	2
P23508	Homo sapiens	Metazoa	829		0	FALSE	2
P97855	Mus musculus	Metazoa	465		0	FALSE	1
Q800K6	Xenopus laevis	Metazoa	1513		0	FALSE	4
Q75RY2	Oryza sativa subsp. japonica	Viridiplantae	492		0	FALSE	2
Q92565	Homo sapiens	Metazoa	580		0	FALSE	3
Q9SW31	Arabidopsis thaliana	Viridiplantae	157		0	FALSE	1
P34909	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	587		0	FALSE	3
F4JZC2	Arabidopsis thaliana	Viridiplantae	680		0	FALSE	0
Q9C108	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	163		0	FALSE	3
Q9SV15	Arabidopsis thaliana	Viridiplantae	325		0	FALSE	4
Q9BU64	Homo sapiens	Metazoa	300		0	FALSE	3
G1XJN1	Arthrobotrys oligospora (strain ATCC 24927 / CBS 115.81 / DSM 1491)	Fungi	401		0	TRUE	1
Q8N2I9	Homo sapiens	Metazoa	435		0	FALSE	4
Q12333	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	620		0	TRUE	2
P47045	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	478		0	TRUE	0
Q03790	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	475		0	FALSE	3
Q8VYU8	Arabidopsis thaliana	Viridiplantae	396		0	FALSE	2
Q9V3H8	Drosophila melanogaster	Metazoa	133		0	FALSE	1
Q94234	Caenorhabditis elegans	Metazoa	204		0	FALSE	0
P38710	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	295		0	FALSE	1
O74808	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1238		0	FALSE	1
Q9R226	Mus musculus	Metazoa	346		0	FALSE	3
Q56NI9	Homo sapiens	Metazoa	601		0	FALSE	0
P53983	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	676		0	TRUE	4
O70433	Mus musculus	Metazoa	279		0	FALSE	2
O15360	Homo sapiens	Metazoa	1455		0	FALSE	3
O42636	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	278		0	FALSE	2
Q12204	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	715		0	FALSE	3
Q94A03	Arabidopsis thaliana	Viridiplantae	391		0	FALSE	2
Q9NZH6	Homo sapiens	Metazoa	218		0	FALSE	2
Q12338	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	110		0	FALSE	4
Q12089	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	606		0	FALSE	0
Q4ADV7	Homo sapiens	Metazoa	1423		0	FALSE	1
O35094	Rattus norvegicus	Metazoa	453		0	FALSE	1
O00257	Homo sapiens	Metazoa	560		0	FALSE	2
Q4VC44	Homo sapiens	Metazoa	716		0	FALSE	4
P41046	Drosophila melanogaster	Metazoa	550		0	FALSE	2
P46310	Arabidopsis thaliana	Viridiplantae	446		0	FALSE	0
Q9LDD5	Arabidopsis thaliana	Viridiplantae	373		0	FALSE	0
O13898	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	893		0	TRUE	1
Q60560	Mesocricetus auratus	Metazoa	989		0	FALSE	3
Q6PCP7	Mus musculus	Metazoa	798		0	TRUE	3
Q60817	Mus musculus	Metazoa	215		0	FALSE	2
Q8BJQ4	Mus musculus	Metazoa	232		0	FALSE	2
Q9H0C3	Homo sapiens	Metazoa	514		0	TRUE	0
P27895	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1000		0	FALSE	3
P51959	Homo sapiens	Metazoa	295		0	FALSE	3
Q42687	Chlamydomonas reinhardtii	Viridiplantae	219		0	FALSE	2
Q9C6T1	Arabidopsis thaliana	Viridiplantae	505		0	FALSE	0
Q9D030	Mus musculus	Metazoa	160		0	FALSE	0
P14866	Homo sapiens	Metazoa	589		0	FALSE	1
P93740	Arabidopsis thaliana	Viridiplantae	280		0	FALSE	0
Q1K7P9	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	140		0	FALSE	4
Q4WN10	Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293)	Fungi	575		0	FALSE	0
Q8C0V1	Mus musculus	Metazoa	768		0	FALSE	0
Q6NPS8	Arabidopsis thaliana	Viridiplantae	623		0	FALSE	3
Q3T9M1	Mus musculus	Metazoa	494		0	FALSE	2
Q96LI6	Homo sapiens	Metazoa	401		0	FALSE	3
P20290	Homo sapiens	Metazoa	206		0	FALSE	1
Q6PB66	Mus musculus	Metazoa	1392		0	FALSE	3
O46411	Bos taurus	Metazoa	560		0	FALSE	0
P0DJH6	Gallus gallus	Metazoa	76		0	FALSE	0
A9JRD8	Danio rerio	Metazoa	540		0	FALSE	0
O74462	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	452		0	FALSE	4
Q9BZF1	Homo sapiens	Metazoa	889		0	FALSE	4
Q8N2H3	Homo sapiens	Metazoa	581		0	FALSE	1
O60239	Homo sapiens	Metazoa	455		0	FALSE	3
W8JWV8	Catharanthus roseus	Viridiplantae	378		0	FALSE	4
Q923B3	Mus musculus	Metazoa	828		0	FALSE	0
O15743	Dictyostelium discoideum	Other	975		0	FALSE	1
Q9USY4	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	527		0	FALSE	2
P0C6T3	Rattus norvegicus	Metazoa	269		0	TRUE	1
Q9QVP9	Mus musculus	Metazoa	1009		0	FALSE	1
Q8C624	Mus musculus	Metazoa	132		0	FALSE	0
P47002	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	699		0	FALSE	0
O74433	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	67		0	TRUE	3
Q27934	Drosophila melanogaster	Metazoa	400		0	FALSE	1
Q9Y2Y6	Homo sapiens	Metazoa	226		0	TRUE	2
Q9SZ15	Arabidopsis thaliana	Viridiplantae	421		0	FALSE	4
O75695	Homo sapiens	Metazoa	350		0	FALSE	4
P38127	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	377		0	TRUE	0
P38237	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	781		0	FALSE	2
Q9H9P8	Homo sapiens	Metazoa	463		0	FALSE	1
Q94K73	Arabidopsis thaliana	Viridiplantae	429		0	FALSE	2
Q6P6J4	Mus musculus	Metazoa	239		0	FALSE	0
P48437	Mus musculus	Metazoa	737		0	FALSE	4
Q9SY69	Arabidopsis thaliana	Viridiplantae	913		0	FALSE	3
Q5TGZ0	Homo sapiens	Metazoa	78		0	TRUE	1
P57728	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	148		0	FALSE	3
Q9NYY8	Homo sapiens	Metazoa	710		0	FALSE	1
Q99K24	Mus musculus	Metazoa	317		0	TRUE	0
Q9FJH5	Arabidopsis thaliana	Viridiplantae	283		0	FALSE	4
Q9JHR9	Mus musculus	Metazoa	270		0	FALSE	1
P40993	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	198		0	FALSE	3
Q80T11	Mus musculus	Metazoa	461		0	FALSE	1
P17677	Homo sapiens	Metazoa	238		0	FALSE	3
O70572	Mus musculus	Metazoa	419		0	FALSE	3
A0A7J6K629	Toxoplasma gondii	Other	547		0	TRUE	0
Q8WVM0	Homo sapiens	Metazoa	346		0	FALSE	4
Q18919	Caenorhabditis elegans	Metazoa	558		0	FALSE	2
Q9NUQ9	Homo sapiens	Metazoa	324		0	FALSE	1
O95721	Homo sapiens	Metazoa	258		0	FALSE	0
P42838	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	414		0	TRUE	3
Q8IZY2	Homo sapiens	Metazoa	2146		0	TRUE	2
Q60676	Mus musculus	Metazoa	499		0	FALSE	2
Q3E747	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	85		0	FALSE	2
P38872	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	237		0	FALSE	4
Q04052	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	950		0	FALSE	0
Q8NDD1	Homo sapiens	Metazoa	293		0	FALSE	3
Q9Y3C4	Homo sapiens	Metazoa	175		0	FALSE	2
O62090	Caenorhabditis elegans	Metazoa	586		0	FALSE	1
P60323	Homo sapiens	Metazoa	173		0	FALSE	2
Q91VD9	Mus musculus	Metazoa	727		0	FALSE	1
Q9Z0X1	Mus musculus	Metazoa	612		0	FALSE	0
Q12359	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	275		0	TRUE	3
P17890	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	251		0	FALSE	3
F4K3G5	Arabidopsis thaliana	Viridiplantae	1297		0	FALSE	4
Q01448	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	625		0	FALSE	0
Q9XI19	Arabidopsis thaliana	Viridiplantae	328		0	FALSE	4
Q9LZA6	Arabidopsis thaliana	Viridiplantae	825		0	FALSE	2
Q06494	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	345		0	FALSE	3
P38257	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	691		0	FALSE	3
A9LNK9	Arabidopsis thaliana	Viridiplantae	631		0	FALSE	0
Q76FK4	Homo sapiens	Metazoa	1167		0	FALSE	3
Q02080	Homo sapiens	Metazoa	365		0	FALSE	2
Q66HC5	Rattus norvegicus	Metazoa	819		0	FALSE	0
Q8K337	Mus musculus	Metazoa	993		0	FALSE	0
O59740	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	522		0	FALSE	0
O00625	Homo sapiens	Metazoa	290		0	FALSE	1
P51808	Homo sapiens	Metazoa	116		0	FALSE	3
Q9Y244	Homo sapiens	Metazoa	141		0	FALSE	1
B0XTT5	Aspergillus fumigatus (strain CBS 144.89 / FGSC A1163 / CEA10)	Fungi	247		0	FALSE	2
Q9XIB5	Arabidopsis thaliana	Viridiplantae	226		0	FALSE	2
Q9D5V6	Mus musculus	Metazoa	365		0	FALSE	0
Q75GR5	Oryza sativa subsp. japonica	Viridiplantae	281		0	FALSE	4
Q10B19	Oryza sativa subsp. japonica	Viridiplantae	250		0	FALSE	4
Q940M2	Arabidopsis thaliana	Viridiplantae	476		0	FALSE	0
Q9D6J6	Mus musculus	Metazoa	248		0	FALSE	2
Q23529	Caenorhabditis elegans	Metazoa	777		0	FALSE	4
P39001	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	836		0	FALSE	0
Q9CQT7	Mus musculus	Metazoa	168		0	FALSE	2
O44498	Caenorhabditis elegans	Metazoa	1623		0	FALSE	1
Q9H9P5	Homo sapiens	Metazoa	680		0	FALSE	2
Q9ZV08	Arabidopsis thaliana	Viridiplantae	291		0	FALSE	3
P53139	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	140		0	FALSE	1
Q12032	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	185		0	FALSE	2
Q01892	Homo sapiens	Metazoa	262		0	FALSE	3
Q8C206	Mus musculus	Metazoa	330		0	TRUE	0
P51557	Mus musculus	Metazoa	284		0	FALSE	3
P40073	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	367		0	TRUE	4
O74504	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	791		0	FALSE	0
Q05344	Drosophila melanogaster	Metazoa	723		0	FALSE	4
P43565	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1770		0	FALSE	1
Q67UR2	Oryza sativa subsp. japonica	Viridiplantae	419		0	FALSE	2
P53327	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1967		0	FALSE	3
A4D126	Homo sapiens	Metazoa	451		0	FALSE	3
P0DI81	Homo sapiens	Metazoa	140		0	FALSE	0
Q9VDE4	Drosophila melanogaster	Metazoa	286		0	FALSE	4
Q67ZB6	Arabidopsis thaliana	Viridiplantae	462		0	FALSE	4
Q95QD7	Caenorhabditis elegans	Metazoa	435		0	FALSE	4
Q10067	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	690		0	FALSE	4
Q8TD22	Homo sapiens	Metazoa	340		0	FALSE	1
Q8BQP9	Mus musculus	Metazoa	257		0	FALSE	3
P53810	Mus musculus	Metazoa	271		0	FALSE	2
Q6K9U2	Oryza sativa subsp. japonica	Viridiplantae	279		0	FALSE	0
Q4WF54	Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293)	Fungi	270		0	FALSE	3
P78524	Homo sapiens	Metazoa	1137		0	FALSE	4
Q9Z1A5	Rattus norvegicus	Metazoa	534		0	FALSE	1
Q3E7A3	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	74		0	TRUE	0
P23724	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	241		0	FALSE	3
P43079	Candida albicans (strain SC5314 / ATCC MYA-2876)	Fungi	656		0	FALSE	0
P52891	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	726		0	FALSE	3
Q9VLP7	Drosophila melanogaster	Metazoa	397		0	FALSE	3
P63072	Mus musculus	Metazoa	162		0	FALSE	1
Q96WW2	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	383		0	FALSE	0
O74792	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	515		0	FALSE	2
Q12277	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	265		0	FALSE	1
Q5T6F0	Homo sapiens	Metazoa	453		0	FALSE	3
Q10414	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	561		0	FALSE	2
Q9JLM4	Mus musculus	Metazoa	1370		0	FALSE	2
Q95U54	Drosophila melanogaster	Metazoa	959		0	FALSE	1
Q8BKA3	Mus musculus	Metazoa	608		0	FALSE	4
Q96AQ6	Homo sapiens	Metazoa	731		0	FALSE	2
H3BKT1	Mus musculus	Metazoa	185		0	FALSE	0
Q12192	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	310		0	FALSE	3
B6VQ60	Caenorhabditis elegans	Metazoa	612		0	FALSE	2
P38271	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	328		0	FALSE	3
Q9V463	Drosophila melanogaster	Metazoa	1365		0	FALSE	2
P40508	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	320		0	TRUE	2
P38170	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	754		0	FALSE	1
Q07065	Homo sapiens	Metazoa	602		0	FALSE	1
Q9VMD6	Drosophila melanogaster	Metazoa	659		0	FALSE	1
Q64727	Mus musculus	Metazoa	1066		0	FALSE	2
Q9VKM1	Drosophila melanogaster	Metazoa	843		0	FALSE	0
Q9BV86	Homo sapiens	Metazoa	223		0	FALSE	3
Q9LLY4	Brassica napus	Viridiplantae	344		0	FALSE	0
E9PT37	Rattus norvegicus	Metazoa	1207		0	FALSE	2
Q9BZC1	Homo sapiens	Metazoa	486		0	FALSE	3
P28625	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	365		0	FALSE	3
Q68FX6	Rattus norvegicus	Metazoa	390		0	FALSE	2
Q9Y6N1	Homo sapiens	Metazoa	276		0	FALSE	3
P92204	Drosophila melanogaster	Metazoa	280		0	FALSE	3
P04840	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	283		0	FALSE	2
B2AFA8	Podospora anserina (strain S / ATCC MYA-4624 / DSM 980 / FGSC 10383)	Fungi	775		0	FALSE	4
P08518	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1224		0	FALSE	1
Q04264	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1277		0	FALSE	0
Q9LW00	Arabidopsis thaliana	Viridiplantae	254		0	FALSE	1
P83758	Danio rerio	Metazoa	448		0	FALSE	2
P00973	Homo sapiens	Metazoa	400		0	FALSE	4
Q6TAS3	Solanum lycopersicum	Viridiplantae	902		0	FALSE	1
Q9HD15	Homo sapiens	Metazoa	224		0	FALSE	0
Q9SCJ9	Arabidopsis thaliana	Viridiplantae	1067		0	FALSE	4
O94561	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	195		0	FALSE	0
Q12285	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	212		0	FALSE	0
Q9D8H7	Mus musculus	Metazoa	521		0	FALSE	3
Q5VZK9	Homo sapiens	Metazoa	1371		0	FALSE	4
C0HM53	Populus euphratica	Viridiplantae	510		0	FALSE	4
Q3ECR7	Arabidopsis thaliana	Viridiplantae	62		0	TRUE	3
Q9BRD0	Homo sapiens	Metazoa	619		0	FALSE	1
Q14669	Homo sapiens	Metazoa	1992		0	FALSE	2
Q9USQ1	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	960		0	FALSE	0
Q9P0R6	Homo sapiens	Metazoa	139		0	FALSE	1
Q2V2P9	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	66		0	TRUE	1
Q04401	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	133		0	FALSE	3
P36163	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	345		0	TRUE	0
Q8K3G9	Mus musculus	Metazoa	662		0	FALSE	1
P06746	Homo sapiens	Metazoa	335		0	FALSE	1
Q96NR3	Homo sapiens	Metazoa	888		0	TRUE	2
P93788	Solanum tuberosum	Viridiplantae	198		0	FALSE	0
Q9VPQ6	Drosophila melanogaster	Metazoa	1191		0	FALSE	3
Q10362	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	859		0	FALSE	1
Q9U7D5	Caenorhabditis elegans	Metazoa	611		0	TRUE	3
Q6XR72	Homo sapiens	Metazoa	485		0	TRUE	0
Q9H6K1	Homo sapiens	Metazoa	298		0	FALSE	0
Q95QW4	Caenorhabditis elegans	Metazoa	561		0	FALSE	1
O43818	Homo sapiens	Metazoa	475		0	FALSE	2
Q4W9R0	Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293)	Fungi	153		0	FALSE	0
Q6W5P4	Homo sapiens	Metazoa	371		0	TRUE	4
O94268	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	608		0	FALSE	2
Q14978	Homo sapiens	Metazoa	699		0	FALSE	1
P46963	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	296		0	FALSE	0
Q13057	Homo sapiens	Metazoa	564		0	FALSE	3
Q15714	Homo sapiens	Metazoa	1073		0	FALSE	2
Q9H3L0	Homo sapiens	Metazoa	296		0	FALSE	2
Q8TAX9	Homo sapiens	Metazoa	416		0	FALSE	2
Q8S4F6	Arabidopsis thaliana	Viridiplantae	510		0	FALSE	1
Q8WYQ3	Homo sapiens	Metazoa	142		0	FALSE	2
P47175	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	358		0	FALSE	3
P36159	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	838		0	FALSE	1
Q8S9G8	Arabidopsis thaliana	Viridiplantae	801		0	FALSE	0
A8WFJ9	Caenorhabditis elegans	Metazoa	437		0	FALSE	0
Q9BT17	Homo sapiens	Metazoa	334		0	FALSE	4
O97965	Ovis aries	Metazoa	110		0	FALSE	1
Q9VJL6	Drosophila melanogaster	Metazoa	138		0	FALSE	4
Q13309	Homo sapiens	Metazoa	424		0	FALSE	3
Q06011	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	112		0	TRUE	0
Q9ES40	Rattus norvegicus	Metazoa	188		0	TRUE	0
P40382	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	444		0	FALSE	4
Q8TF40	Homo sapiens	Metazoa	1166		0	FALSE	0
Q1H537	Arabidopsis thaliana	Viridiplantae	417		0	FALSE	3
Q8TEQ6	Homo sapiens	Metazoa	1508		0	FALSE	4
Q76KJ5	Mus musculus	Metazoa	399		0	FALSE	4
P38803	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	334		0	FALSE	4
Q94C32	Arabidopsis thaliana	Viridiplantae	320		0	FALSE	0
P08970	Drosophila melanogaster	Metazoa	941		0	FALSE	1
A2AIL4	Mus musculus	Metazoa	333		0	FALSE	3
P32318	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	326		0	FALSE	1
Q1W6H9	Homo sapiens	Metazoa	321		0	FALSE	3
P82649	Bos taurus	Metazoa	359		0	FALSE	0
Q12179	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	454		0	FALSE	3
F4IHS2	Arabidopsis thaliana	Viridiplantae	3574		0	FALSE	0
P24813	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	409		0	FALSE	4
Q5TB30	Homo sapiens	Metazoa	811		0	FALSE	2
P21981	Mus musculus	Metazoa	686		0	FALSE	2
Q07980	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	695		0	FALSE	2
O14216	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	337		0	FALSE	2
Q12952	Homo sapiens	Metazoa	345		0	FALSE	3
Q8GUL2	Arabidopsis thaliana	Viridiplantae	958		0	FALSE	2
Q9M2N5	Arabidopsis thaliana	Viridiplantae	696		0	FALSE	1
Q9UQN3	Homo sapiens	Metazoa	213		0	FALSE	0
Q9HD33	Homo sapiens	Metazoa	250		0	FALSE	1
P78946	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	126		0	FALSE	4
Q9H2D6	Homo sapiens	Metazoa	2365		0	FALSE	3
Q9NVD7	Homo sapiens	Metazoa	372		0	FALSE	1
Q9VGA4	Drosophila melanogaster	Metazoa	1169		0	FALSE	2
O17286	Caenorhabditis elegans	Metazoa	403		0	FALSE	2
Q07532	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	353		0	FALSE	1
Q5RI15	Homo sapiens	Metazoa	118		0	TRUE	4
Q9HGM8	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	695		0	FALSE	1
Q03201	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	203		0	FALSE	1
Q84LK0	Arabidopsis thaliana	Viridiplantae	1118		0	FALSE	1
P78508	Homo sapiens	Metazoa	379		0	TRUE	1
Q08278	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	222		0	FALSE	4
Q5U5Q3	Homo sapiens	Metazoa	659		0	FALSE	1
P34241	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1764		0	FALSE	0
A0A2K8FQU5	Catharanthus roseus	Viridiplantae	436		0	FALSE	3
Q00597	Homo sapiens	Metazoa	558		0	FALSE	1
Q94AH1	Arabidopsis thaliana	Viridiplantae	300		0	TRUE	4
A6NDU8	Homo sapiens	Metazoa	294		0	FALSE	0
Q5XVG3	Arabidopsis thaliana	Viridiplantae	287		0	FALSE	4
Q14686	Homo sapiens	Metazoa	2063		0	FALSE	2
P35817	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	686		0	FALSE	2
Q9HAJ7	Homo sapiens	Metazoa	183		0	FALSE	2
